implementation,credential_count,attribute_count,mean_ms
multi_credential_batch_show,4,4,4.508382469166666
multi_credential_batch_show,4,16,5.006929013636366
multi_credential_batch_show,4,32,5.613105276666667
multi_credential_batch_show,16,4,18.792201683333335
multi_credential_batch_show,16,16,20.237366920000003
multi_credential_batch_show,16,32,23.14398019
multi_credential_batch_show,32,4,37.0125377
multi_credential_batch_show,32,16,40.10467085
multi_credential_batch_show,32,32,44.94478646500001
multi_credential_batch_verify,4,4,7.11140083
multi_credential_batch_verify,4,16,7.277473037142859
multi_credential_batch_verify,4,32,8.031380597142858
multi_credential_batch_verify,16,4,25.84667852
multi_credential_batch_verify,16,16,27.1150108
multi_credential_batch_verify,16,32,30.05536711
multi_credential_batch_verify,32,4,50.63672044
multi_credential_batch_verify,32,16,53.997114079999996
multi_credential_batch_verify,32,32,59.25376883
multi_issuer_identity_binding,4,4,17.732197899999992
multi_issuer_identity_binding,4,16,18.60913264666667
multi_issuer_identity_binding,4,32,20.18037237333333
multi_issuer_identity_binding,16,4,71.16565873
multi_issuer_identity_binding,16,16,75.1194821
multi_issuer_identity_binding,16,32,80.56049082
multi_issuer_identity_binding,32,4,143.27807533
multi_issuer_identity_binding,32,16,149.60443581
multi_issuer_identity_binding,32,32,161.31332831
multi_issuer_identity_binding_show,4,4,5.606542271111111
multi_issuer_identity_binding_show,4,16,6.411177285
multi_issuer_identity_binding_show,4,32,7.803414407142861
multi_issuer_identity_binding_show,16,4,22.881641396666666
multi_issuer_identity_binding_show,16,16,25.749432289999998
multi_issuer_identity_binding_show,16,32,31.839642925
multi_issuer_identity_binding_show,32,4,45.13395564
multi_issuer_identity_binding_show,32,16,51.628516270000006
multi_issuer_identity_binding_show,32,32,62.569341259999995
multi_issuer_identity_binding_verify,4,4,17.645501550000002
multi_issuer_identity_binding_verify,4,16,18.669030123333332
multi_issuer_identity_binding_verify,4,32,19.887180560000004
multi_issuer_identity_binding_verify,16,4,72.57000373999999
multi_issuer_identity_binding_verify,16,16,76.51875039
multi_issuer_identity_binding_verify,16,32,82.40841084
multi_issuer_identity_binding_verify,32,4,147.35441283
multi_issuer_identity_binding_verify,32,16,148.24001372
multi_issuer_identity_binding_verify,32,32,160.4784329
non_private_non_batch,4,4,6.78761864375
non_private_non_batch,4,16,6.77421775875
non_private_non_batch,4,32,6.80760963375
non_private_non_batch,16,4,27.449483315000002
non_private_non_batch,16,16,27.690349575
non_private_non_batch,16,32,27.14321478
non_private_non_batch,32,4,57.879671159999994
non_private_non_batch,32,16,54.31078628
non_private_non_batch,32,32,53.98687409
non_private_with_batch,4,4,2.8734911758823545
non_private_with_batch,4,16,2.8496255550000003
non_private_with_batch,4,32,2.8666820599999996
non_private_with_batch,16,4,10.083083771999998
non_private_with_batch,16,16,10.032769424
non_private_with_batch,16,32,10.182671334000002
non_private_with_batch,32,4,19.551108619999997
non_private_with_batch,32,16,19.78972515666667
non_private_with_batch,32,32,19.393858746666666